title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
"['BME\xa03406 Introduction to Biomolecular Engineering', '3 Credits']",Introduces bio-related careers in chemical engineering and emphasizes the link between biology and chemical engineering as well as the interface between them.,https://catalog.ufl.edu/UGRD/courses/chemical_engineering/,3.0,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 2}"
"['ECH\xa02934 Professional Development of Chemical Engineers', '1 Credit']","Introduces the Chemical Engineering profession and a wide range of careers, including chemical, energy, pharmaceutical, semiconductor, and food industries, as well as graduate and professional school pathways. Provides resources to build successful professional careers, including best practices for interviewing, oral presentations, and teamwork. Also discusses professional codes of conduct and ethical decision-making.",https://catalog.ufl.edu/UGRD/courses/chemical_engineering/,2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
"['BSC\xa02862 Global Change Ecology and Sustainability', '3 Credits']",Examines key issues in sustainability and global environmental change from an ecological perspective. Major themes include impacts of climate change on terrestrial ecological communities; feedback between the terrestrial biosphere and the atmosphere; and implications of climate change for the sustainability of natural and managed ecosystems. (B),https://catalog.ufl.edu/UGRD/courses/biological_sciences/,5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
"['ECH\xa03223 Energy Transfer Operations', '3 Credits']","Steady state conduction in solids and heterogeneous materials, transient conduction, convection heat transfer, heat transfer during boiling and condensation, radiation heat transfer, design of heat-transfer equipment and heat exchange networks.",https://catalog.ufl.edu/UGRD/courses/chemical_engineering/,2.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 3}"
"['ECH\xa04323 Process Control Theory', '3 Credits']",Analysis and automatic control of process systems in chemical engineering.,https://catalog.ufl.edu/UGRD/courses/chemical_engineering/,4.0,Process Control;Chemical Engineering,technical_skills-1;engineering_capabilities-2,"{""chemical engineering"": 1, ""process control"": 1}"
"['ECH\xa04323L Process Control Laboratory', '1 Credit']",Laboratory work associated with ECH 4323.,https://catalog.ufl.edu/UGRD/courses/chemical_engineering/,1.5,Process Control,technical_skills-1,"{""process control"": 1}"
"['ECH\xa04504 Chemical Kinetics and Reactor Design', '4 Credits']","Homogeneous and heterogeneous reaction kinetic modeling and data analysis. Analysis and design of ideal batch, mixed, plug and recycle reactors. Heterogeneous catalysis and reactor design.",https://catalog.ufl.edu/UGRD/courses/chemical_engineering/,3.5,Catalysis,production-3,"{""catalysis"": 1}"
"['ECH\xa04524 Heterogeneous Chemical Kinetics Reactor Design', '2 Credits']","Theories of catalytic reactions of adsorbed species at solid surfaces, development or rate expressions with heat and mass transport properties through porous catalyst materials for design of heterogeneous chemical reactors.",https://catalog.ufl.edu/UGRD/courses/chemical_engineering/,3.5,Catalyst,production-3,"{""catalyst"": 1}"
"['BSC\xa04055 Climate Change and Human Systems', '3 Credits']","Principles derived from basic medical science, ecology, and relevant social sciences describe the major factors of climate change and their effects on human systems relevant to economy, wellness, energy systems, and food security. Natural science and the scientific method provide the basis for understanding sustainability science as a framework for mitigation and adaptation of the disruption of the Earth System and impacts on the biosphere and human systems.",https://catalog.ufl.edu/UGRD/courses/biological_sciences/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"['ARC\xa04882 Vernacular Architecture and Sustainability', '3 Credits']","Investigates vernacular architecture in the discourse of architectural sustainability with an emphasis on the way that vernacular architecture has been constructed, represented and consumed in the environmental histories of architecture.",https://catalog.ufl.edu/UGRD/courses/architecture/,5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
"['ECH\xa04714 Chemical Process Safety', '3 Credits']",Laboratory and process safety analysis which emphasizes prevention and mitigation. Application of chemical engineering principles to assessing hazards and risk.,https://catalog.ufl.edu/UGRD/courses/chemical_engineering/,3.5,Process Safety;Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1, ""process safety"": 2}"
"['ECH\xa04824 Materials of Chemical Engineering', '2 Credits']","Relations between microscopic structure and macroscopic mechanical, thermal and electrical properties of organic and inorganic solids. Engineering applications, including corrosion.",https://catalog.ufl.edu/UGRD/courses/chemical_engineering/,4.0,Corrosion;Chemical Engineering,technical_skills-1;engineering_capabilities-2,"{""chemical engineering"": 1, ""corrosion"": 1}"
"['ECH\xa04827 Processing of Complex Fluids', '3 Credits']",Principles involved in quantitative adoption of chemical engineering unit operations and unit processes for the analysis and design of systems involving complex fluids.,https://catalog.ufl.edu/UGRD/courses/chemical_engineering/,2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
"['ECH\xa04905 Special Problems in Chemical Engineering', '1-6 Credits']",Study of chemical engineering problems as identified by the student and instructor.,https://catalog.ufl.edu/UGRD/courses/chemical_engineering/,3.0,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 2}"
"['ECH\xa04944 Practical Work in Chemical Engineering', '1-5 Credits']","One term industrial employment, including extra work according a pre-approved outline. Practical engineering work under industrial supervision as set forth in college regulations.",https://catalog.ufl.edu/UGRD/courses/chemical_engineering/,2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
"['ECH\xa04948 Internship Work Experience', '0-3 Credits']","Practical internship work experience under approved industrial supervision, as set forth in college regulations. A maximum of 3 credits from ECH 4948 and ECH 4949 can count towards the Chemical Engineering degree. For example, a student who has earned 1 credit of ECH 4949, can only have 2 credits of ECH 4948 count towards the degree.",https://catalog.ufl.edu/UGRD/courses/chemical_engineering/,2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
"['ECH\xa04949 Co-op Work Experience', '0-3 Credits']","Practical co-op work experience under approved industrial supervision, as set forth in college regulations. A maximum of 3 credits from ECH 4949 and ECH 4948 can count towards the Chemical Engineering degree. For example, a student who has earned 1 credit of ECH 4948, can only have 2 credits of ECH 4949 count towards the degree.",https://catalog.ufl.edu/UGRD/courses/chemical_engineering/,2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
"['WIS\xa04523 Human Dimensions of Natural Resource Conservation', '3 Credits']","Local and international models are used to provide an interdisciplinary overview of the theory and practice of conservation education, environmental communication and integrated resource management and conservation.",https://catalog.ufl.edu/UGRD/courses/wildlife_ecology_and_conservation/,1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
"['WIS\xa04551 Diverse Perspectives in Conservation', '3 Credits']","As the population of the United States becomes increasingly diverse, the integration and participation of diverse communities is essential with respect to successful management and conservation of wildlife and natural resources. Examines current and historical factors that influence the interaction of marginalized communities such as indigenous and communities of color with the natural environment, including natural resource management decision-making structures.",https://catalog.ufl.edu/UGRD/courses/wildlife_ecology_and_conservation/,1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
"['ANT\xa02402 Anthropology of Sustainability', '3 Credits']","Application of the sustainability concept to the study of human interactions with the biophysical environment across space and time. Focuses on human perceptions of and interactions with their biotic surroundings and the myriad linkages between biological, cultural and linguistic diversity.",https://catalog.ufl.edu/UGRD/courses/anthropology/,5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
"['URP\xa04273 Survey of Planning Information Systems', '3 Credits']","Introduces concepts and theories associated with Geographic Information Systems (GIS) as related to urban and environmental planning. Requires lectures, class assignments, and homework assignments.",https://catalog.ufl.edu/UGRD/courses/urban_and_regional_planning/,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
"['URP\xa04283 Automation for Geospatial Modeling and Analysis', '3 Credits']","Covers methods and techniques for automating geospatial modeling and analysis for planning and built environment by using visual models, computer programming, and custom-built applications and tools that utilize Geographic Information Systems (GIS) technology in the context of planning information systems.",https://catalog.ufl.edu/UGRD/courses/urban_and_regional_planning/,4.0,Automation;Geographic Information Systems,technical_skills-1;engineering_capabilities-2,"{""geographic information systems"": 1, ""automation"": 1}"
"['BSC\xa02862 Global Change Ecology and Sustainability', '3 Credits']",Examines key issues in sustainability and global environmental change from an ecological perspective. Major themes include impacts of climate change on terrestrial ecological communities; feedback between the terrestrial biosphere and the atmosphere; and implications of climate change for the sustainability of natural and managed ecosystems. (B),https://catalog.ufl.edu/UGRD/courses/biological_sciences/,5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
"['BSC\xa04055 Climate Change and Human Systems', '3 Credits']","Principles derived from basic medical science, ecology, and relevant social sciences describe the major factors of climate change and their effects on human systems relevant to economy, wellness, energy systems, and food security. Natural science and the scientific method provide the basis for understanding sustainability science as a framework for mitigation and adaptation of the disruption of the Earth System and impacts on the biosphere and human systems.",https://catalog.ufl.edu/UGRD/courses/biological_sciences/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"['SWS\xa04204 Urban Soil and Water Systems', '3 Credits']",Issues and opportunities related to soil and water quality in urban systems. Students will learn and discuss consequences of human population growth on soil and water systems in urban areas.,https://catalog.ufl.edu/UGRD/courses/soil_and_water_sciences/,1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
"['SWS\xa04207 Sustainable Agricultural and Urban Land Management', '3 Credits']","Agricultural and urban water quality issues in Florida, their bases, land and nutrient management strategies and the science and policy behind Best Management Practices (BMPs). Students will learn to evaluate BMP research and analyze its role in determining practices and policies that protect water quality.",https://catalog.ufl.edu/UGRD/courses/soil_and_water_sciences/,2.0,Water Quality,technical_skills-1,"{""water quality"": 2}"
"['SWS\xa04244 Wetlands', '3 Credits']","Introduces wetland ecosystems with emphasis on principles and problems associated with their functions and values as related to water quality. Become familiar with basic and applied concepts in hydrology, soils, and vegetation of both constructed and natural wetlands.",https://catalog.ufl.edu/UGRD/courses/soil_and_water_sciences/,1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
"['SWS\xa04245 Water Resource Sustainability', '3 Credits']","Quantitative effects of human impacts on hydrologic ecosystems (aquifers, watersheds, coastal zones, lakes, and wetlands). Case studies illustrate detrimental effects of unsustainable resource utilization and beneficial management strategies.",https://catalog.ufl.edu/UGRD/courses/soil_and_water_sciences/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"['SWS\xa04451 Soil and Water Chemistry', '3 Credits']","Physico-chemical processes such as mineral weathering and formation, sorption, and ion exchange. Also includes introduction to diffuse double-layer theory.",https://catalog.ufl.edu/UGRD/courses/soil_and_water_sciences/,3.5,Ion Exchange,production-3,"{""ion exchange"": 1}"
"['SWS\xa04800 Environmental Soil and Water Monitoring Techniques', '3 Credits']","Introduces the principles, objectives, and practices in environmental monitoring. Learn the proper techniques in planning for monitoring projects, sampling design, sample collection, basic principles of laboratory analysis, and basic data analysis. Also introduces and emphasizes quality assurance and quality control requirements.",https://catalog.ufl.edu/UGRD/courses/soil_and_water_sciences/,1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
"['ANT\xa04852 Applying GIS in Archaeological Research', '3 Credits']","Examines use of Geographic Information Systems (GIS) for management and analysis of geospatial data in anthropology, experimenting with methods and critically examining case studies. Covers both methodology (collecting data in the field, using publicly-available data; integrating and querying them in a GIS) and theory (the nature of spatial data; scales and topics of analysis). Also examines selected case studies and considers critiques that have been leveled at GIS and spatial analysis.",https://catalog.ufl.edu/UGRD/courses/anthropology/,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
"['HUM\xa03599 Applied Theater for Health: Theory & Practice', '3 Credits']","Immersion in the world of applied theatre for health education, community development, and social change. Develop an understanding of how theatre can be a catalyst for discussion, change, and health promotion by investigating the work of revolutionary artists, as well as contemporary applied theatre practitioners.",https://catalog.ufl.edu/UGRD/courses/theatre_and_dance/,3.5,Catalyst,production-3,"{""catalyst"": 1}"
"['REL\xa02071 Sustainability and Religion', '3 Credits']","Examines the relationship between religion and sustainability and explores how the worlds different religious traditions address the social, economic and environmental dimensions of sustainability. Topics include social and environmental justice, sustainable consumption and sustainable agriculture. Case studies highlight multiple religious perspectives, especially in Latin America and south Asia. (H) (WR)",https://catalog.ufl.edu/UGRD/courses/las_ls_religion/,5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
"['ART\xa04612C Digital Media Workshop', '3 Credits']","Bridges the study of digital media and broadly envisioned professional practices in the field. Emphasis on portfolio and project development for transition to advanced study or professional, expressive or applied practices in integrated media.",https://catalog.ufl.edu/UGRD/courses/art_and_art_history/,2.5,Project Development,engineering_capabilities-2,"{""project development"": 1}"
"['TPA\xa03174 Digital Production for Performance', '3 Credits']","The course divides itself into four core modules of student participation to scaffold learning through the semester. Part 01 is a focus on research and project development, Part 02 transitions into the tools of Content Creation. Part 03 continues to build on the earlier parts with a development in creation with Camera tools and System Integration. Part 04 is a focus on synthesis, programming for presentation and playback of content for an audience.",https://catalog.ufl.edu/UGRD/courses/theatre_and_dance/,2.5,Project Development,engineering_capabilities-2,"{""project development"": 1}"
"['TPA\xa04021 Lighting Design 2', '3 Credits']",Advanced lighting design with focus on automation programming and presentation techniques.,https://catalog.ufl.edu/UGRD/courses/theatre_and_dance/,1.5,Automation,technical_skills-1,"{""automation"": 1}"
"['TPA\xa04171C Show Control Systems for Live Performance', '3 Credits']","Students investigate advanced techniques and practices to design custom entertainment control systems and show networks for live performance. Through hands-on, project based work, students program computer-based systems for interactive lighting, sound, machinery, video and other control systems for live performances, interactive installations, theme parks, museum exhibits and other hybrid entertainment forms. Isadora, TouchDesigner, Unity, Medialon and other realtime performance interfaces.",https://catalog.ufl.edu/UGRD/courses/theatre_and_dance/,2.5,Control Systems,technical_skills-1,"{""control systems"": 3}"
"['TPA\xa04178C AI, Data and the Performing Body', '3 Credits']","This course challenges students to deconstruct and reimagine how emerging technology can be used to expand the language of performance. We’ll explore technosomatic, multisensorial experiences. Students will experiment with motion capture, wearable sensors, depth cameras, virtual augmented reality, artificial intelligence, machine learning and theatrical control systems using game engines and other realtime interactive environments. The course is a mix of theory and practice.",https://catalog.ufl.edu/UGRD/courses/theatre_and_dance/,1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
"['TPA\xa04179C Motion Capture & Mixed Reality', '3 Credits']","This course covers the pipeline for face and body tracking in both recorded and live motion capture coupled with machine learning techniques for retargeting avatars and triggering environmental cues in game engines to create virtual, augmented and mixed reality experiences for live performance. Students employ motion capture suits, 3D modeling software and machine learning libraries to control game engines, projection mapping software and show control systems.",https://catalog.ufl.edu/UGRD/courses/theatre_and_dance/,5.0,Pipeline;Control Systems,delivery_and_storage-3;technical_skills-1,"{""pipeline"": 1, ""control systems"": 1}"
"['SPM\xa03109 Sport Event Management', '3 Credits']",This course introduces students to the fundamentals of project management and its application to sport events. Project management is a strategic and systematic approach to managing sports as projects. Students will apply the five phases of the project-management lifecycle to a multitude of sport events.,https://catalog.ufl.edu/UGRD/courses/sport-management/,3.0,Project Management,engineering_capabilities-2,"{""project management"": 2}"
"['TPA\xa04505 Commercial Theatre Industry', '3 Credits']","Provides an overview of the theatre as an industry in America today. Major topics include Broadway, Off Broadway, project development from both creative and business management aspects, touring, and other types of theatre ventures.",https://catalog.ufl.edu/UGRD/courses/theatre_and_dance/,2.5,Project Development,engineering_capabilities-2,"{""project development"": 1}"
"['BSC\xa02862 Global Change Ecology and Sustainability', '3 Credits']",Examines key issues in sustainability and global environmental change from an ecological perspective. Major themes include impacts of climate change on terrestrial ecological communities; feedback between the terrestrial biosphere and the atmosphere; and implications of climate change for the sustainability of natural and managed ecosystems. (B),https://catalog.ufl.edu/UGRD/courses/biological_sciences/,5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
"['BSC\xa04055 Climate Change and Human Systems', '3 Credits']","Principles derived from basic medical science, ecology, and relevant social sciences describe the major factors of climate change and their effects on human systems relevant to economy, wellness, energy systems, and food security. Natural science and the scientific method provide the basis for understanding sustainability science as a framework for mitigation and adaptation of the disruption of the Earth System and impacts on the biosphere and human systems.",https://catalog.ufl.edu/UGRD/courses/biological_sciences/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"['SPM\xa04154 Managing Organizations in Sport', '3 Credits']","Discusses managerial principles and techniques applicable to a multitude of sport organizations, and addresses the four functions of management: strategy, organizational structure, resource management, and leadership theories.",https://catalog.ufl.edu/UGRD/courses/sport-management/,1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
"['SPM\xa04612 Environmental Sustainability and Sport', '3 Credits']","Students will learn about the components of successful environmental sustainability programs through the evaluation of sport leagues, individual teams, collegiate programs, and venues/arenas, exposing students to key tactics and skills necessary for success in the field. Best practices on core topics provide students with a view of how organizations implement environmental sustainability and social responsibility programs.",https://catalog.ufl.edu/UGRD/courses/sport-management/,5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
"['SPM\xa03109 Sport Event Management', '3 Credits']",This course introduces students to the fundamentals of project management and its application to sport events. Project management is a strategic and systematic approach to managing sports as projects. Students will apply the five phases of the project-management lifecycle to a multitude of sport events.,https://catalog.ufl.edu/UGRD/courses/sport-management/,3.0,Project Management,engineering_capabilities-2,"{""project management"": 2}"
"['PSY\xa03626 Psychology of Sustainability', '3 Credits']","Examines the psychology of sustainability and its impact on human behavior. Provides knowledge of social value orientation, environmental identity, altruism, social capital, and participatory action from a sustainability perspective.",https://catalog.ufl.edu/UGRD/courses/psychology/,5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
"['SPM\xa04154 Managing Organizations in Sport', '3 Credits']","Discusses managerial principles and techniques applicable to a multitude of sport organizations, and addresses the four functions of management: strategy, organizational structure, resource management, and leadership theories.",https://catalog.ufl.edu/UGRD/courses/sport-management/,1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
"['SPM\xa04612 Environmental Sustainability and Sport', '3 Credits']","Students will learn about the components of successful environmental sustainability programs through the evaluation of sport leagues, individual teams, collegiate programs, and venues/arenas, exposing students to key tactics and skills necessary for success in the field. Best practices on core topics provide students with a view of how organizations implement environmental sustainability and social responsibility programs.",https://catalog.ufl.edu/UGRD/courses/sport-management/,5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
"['ENU\xa04133 Reactor Thermal Engineering 2', '4 Credits']","Covers single-phase flow and convective and radiative heat transfer topics for the analysis and design of light water reactors, as well the technology of existing pressurized water reactors",https://catalog.ufl.edu/UGRD/courses/nuclear_and_radiological_engineering/,1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
"['ENU\xa04134 Reactor Thermal Hydraulics', '4 Credits']","Nuclear applications of fluid mechanics, heat transfer and thermodynamics. Two-phase flow and boiling heat transfer. Heat transfer mechanisms in reactor core and sub-channel thermal hydraulics. Steam generator, power cycles, and balance of plant. Introduction to thermal design for reactors.",https://catalog.ufl.edu/UGRD/courses/nuclear_and_radiological_engineering/,2.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 3}"
"['ENU\xa04145 Risk Assessment for Radiation Systems', '3 Credits']","Three one-hour lectures discussing the study of radiation management systems, including reliability and probabilistic risk assessment.",https://catalog.ufl.edu/UGRD/courses/nuclear_and_radiological_engineering/,2.0,Risk Assessment,technical_skills-1,"{""risk assessment"": 2}"
"['POS\xa02032 Politics of Sustainability', '3 Credits']",Examines the political determinants of societal efforts to achieve the competing objectives of sustainability; introduces key concepts and theories used by political scientists in studying sustainability.,https://catalog.ufl.edu/UGRD/courses/political_science/,5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
"['ENU\xa04612 Nuclear Radiation Detection and Instrumentation', '3 Credits']","Three one-hour lectures discussing the physics and electronics of radiation detection and instrumentation systems for application to nuclear energy, radiological sciences, radiation protection, medical physics and imaging, and industrial safety and control systems.",https://catalog.ufl.edu/UGRD/courses/nuclear_and_radiological_engineering/,2.0,Industrial Safety;Control Systems,technical_skills-1,"{""industrial safety"": 1, ""control systems"": 1}"
"['ENU\xa04612L Nuclear Radiation Detection and Instrumentation Laboratory', '1 Credit']","Laboratory experiments related to the physics and electronics of radiation detection and instrumentation systems for application to nuclear energy, radiological sciences, radiation protection, medical physics and imaging, and industrial safety and control systems.",https://catalog.ufl.edu/UGRD/courses/nuclear_and_radiological_engineering/,2.0,Industrial Safety;Control Systems,technical_skills-1,"{""industrial safety"": 1, ""control systems"": 1}"
"['PHY\xa02032 Energy and Society', '3 Credits']","Addresses the question of how the world's energy needs will be met based on available resources, technology, environmental concerns, economics, personal choices, and nation and international policy. Develops quantitative reasoning skills necessary to make informed decisions. Compares energy use, resources, and policy in different countries.",https://catalog.ufl.edu/UGRD/courses/physics/,4.5,Energy and Society,sustainability_and_policy-4,"{""energy and society"": 1}"
"['MEM\xa03510 Engineering the European Middle Ages', '3 Credits']","Explores technological innovations in the cultural domains of power generation, agriculture, sacred spaces, warfare, and textiles. Analyzes their interactions with belief- and value systems that shaped the European Middle Ages.",https://catalog.ufl.edu/UGRD/courses/medieval_and_early_modern_studies/,3.5,Power Generation,use-3,"{""power generation"": 1}"
"['MCB\xa04091 Innovation Project Management for Life Sciences', '1 Credit']","Provides practical tools to manage innovation projects typical of life science research and development. Discusses challenges and methodologies associated with developing objectives, preparing project plans, establishing metrics, defining responsibilities, as well as mitigating risks and dealing with uncertainties. Also strengthens skills for strategic prioritization, time management, meeting facilitation, and communication to promote an innovative culture.",https://catalog.ufl.edu/UGRD/courses/microbiology_and_cell_science/,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
"['PHY\xa02053L Laboratory for Physics 1', '1 Credit']","Laboratory experience for PHY 2053 illustrating the practical applications of the structure and properties of matter; kinematics, dynamics and statics; momentum and energy; rotation, elasticity; vibration; fluids; temperature and expansion, heat transfer, thermal behavior of gases; wave motion and sound. (P)",https://catalog.ufl.edu/UGRD/courses/physics/,1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
"['PHY\xa04550 Cryogenics', '3 Credits']","History of cryogenics, air separation, liquefaction of permanent gases and natural gases, and superconducting devices and electronics.",https://catalog.ufl.edu/UGRD/courses/physics/,4.5,Liquefaction;Cryogenic,delivery_and_storage-3,"{""cryogenic"": 2, ""liquefaction"": 1}"
"['NSC\xa02122 Naval Ships Systems 2: Weapons', '3 Credits']","Introduction to the theory, characteristics and principles of operation of naval weapons systems. Includes coverage of types of weapons and fire control systems, capabilities and limitations, theory of target acquisition, identification and tracking, trajectory principles and basics of naval ordinance.",https://catalog.ufl.edu/UGRD/courses/military_science_/,1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
"['NSC\xa03215C Navigation and Naval Operations 2', '3 Credits']","A continuation of navigation and naval operations. Relative motion theory and the use of a maneuvering board. An understanding of the force, techniques and concepts associated with ship handling, including shipboard watch organization, communication systems and environmental considerations. The role of leadership ethics is discussed while developing an understanding of the process of command and control, dealing specifically with information exchange, conflict resolution and crisis decision making.",https://catalog.ufl.edu/UGRD/courses/military_science_/,3.5,Ion Exchange,production-3,"{""ion exchange"": 1}"
"['EMA\xa04324 Stability of Materials', '3 Credits']","Mechanisms, energetics and kinetics of corrosion and degradation of engineering materials. Economic solutions to degradation problems based upon design and materials selection.",https://catalog.ufl.edu/UGRD/courses/materials_science_and_engineering/,1.5,Corrosion,technical_skills-1,"{""corrosion"": 1}"
"['EAS\xa04412 Dynamics and Control of Space Vehicles', '3 Credits']",Review of aerospace applications in current guidance and control systems. Includes synthesis of open and closed loop guidance and control systems using classical and modern control theory.,https://catalog.ufl.edu/UGRD/courses/mechanical_and_aerospace_engineering/,2.0,Control Systems,technical_skills-1,"{""control systems"": 2}"
"['NSC\xa04233 Leadership and Ethics', '3 Credits']","Equips the NROTC student with the skills and abilities required for competence as a commissioned officer. This final capstone course in the NROTC curriculum builds upon and focuses the managerial, professional and ethical competencies developed during previous summer cruise training and naval science courses. Ethical philosophies and real-world situations are studied through lectures, exercises and case studies. Naval personnel management, the administration of discipline and human resource management are additional areas of focus.",https://catalog.ufl.edu/UGRD/courses/military_science_/,1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
